brand,name,price,concentration,gender,scents,base_note,middle_note,Gender_encoded,scent_strength,price_normalized,notes_diversity,base_note_0,base_note_1,base_note_2,base_note_3,base_note_4,base_note_5,base_note_6,base_note_7,base_note_8,base_note_9,base_note_10,base_note_11,middle_note_0,middle_note_1,middle_note_2,middle_note_3,middle_note_4,middle_note_5,middle_note_6,middle_note_7,middle_note_8,middle_note_9,middle_note_10,middle_note_11,Woody,Floral,Arabian,Spicy,Oriental,Fruity,Fresh,Citrus,Vanilla,Musk,Aromatic,Jasmine,Rose,Sandalwood,Clean
PACO RABANNE,1 Million Lucky,244.55,EDT,Men,Woody,"Oakmoss, Patchouli and Vetiver","Hazelnut, Jasmine, Cashmir Wood, Cedar and Honey",1,1.0,0.2659255141745414,8,Oakmoss,Patchouli,Vetiver,,,,,,,,,,Hazelnut,Jasmine,Cashmir Wood,Cedar,Honey,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Roberto Cavalli,Paradiso Assoluto,107.95,EDP,Women,Floral,"Vanilla, Sandalwood And Patchouli",Wild Jasmine and Red Lily,0,2.0,0.1140633685380767,5,Vanilla,Salwood,alwood  Patchouli,,,,,,,,,,Wild Jasmine,Red Lily,,,,,,,,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
S.T.Dupont,Royal Amber,186.9,EDP,Unisex,Arabian,"Lemon, Mint and Wood Moss",Sandalwood and Cedar,2,2.0,0.20183435241801,6,Lemon,Mint,Wood Moss,,,,,,,,,,Salwood,Sandalwood,Cedar,,,,,,,,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
GUESS,Seductive Blue,103.2,EDT,Men,Spicy,"Cashmere Wood, Moss And Rippled Sand Accord",Blue Coral Aquaspace Accord And Geranium,1,1.0,0.1087826570316842,4,Cashmere Wood,Moss  Rippled S,Accord,,,,,,,,,,Blue Coral Aquaspace Accord  Geranium,,,,,,,,,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Roberto Cavalli,Uomo,94.95,EDP,Women,Arabian,"Vanille, Benzoin, Tonka Bean",African Orange Flower,0,2.0,0.0996108949416342,4,Vanille,Benzoin,Tonka Bean,,,,,,,,,,African Orange Flower,,,,,,,,,,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Roberto Cavalli,cavalli,94.95,EDP,Women,Arabian,"Vanille, Benzoin, Tonka Bean",African Orange Flower,0,2.0,0.0996108949416342,4,Vanille,Benzoin,Tonka Bean,,,,,,,,,,African Orange Flower,,,,,,,,,,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
HUGO BOSS,The Scent,220.0,EDP,Women,Oriental,Roasted Cocoa,"Lavender, Osmanthus Flower",0,2.0,0.2386325736520289,3,Roasted Cocoa,,,,,,,,,,,,Lavender,Osmanthus Flower,,,,,,,,,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
DORALL COLLECTION,Gold Secret,12.35,EDT,Men,Fruity,Labdanum and Musk,Lavender and Cloves,1,1.0,0.0077821011673151,4,Labdanum,Musk,,,,,,,,,,,Lavender,Cloves,,,,,,,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
GUCCI,Bamboo,189.0,EDP,Women,Floral,Sandalwood,Casablanca Lily and Ylang Ylang Extra-Comoros,0,2.0,0.2041689827682045,4,Salwood,Sandalwood,,,,,,,,,,,Casablanca Lily,Ylang Ylang Extra-Comoros,,,,,,,,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Yves Saint Laurent,M7 Oud Absolu,273.0,EDT,Men,Arabian,"Cistus, Myrrh, Oud, Amber",Patchouli,1,1.0,0.2975541967759866,5,Cistus,Myrrh,Oud,Amber,,,,,,,,,Patchouli,,,,,,,,,,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
CERRUTI 1881,1881,119.55,EDT,Men,Fresh,"Musk, Sandalwood, Patchouli, Oak Moss, Cedar, Pepper And Pine Tree","Vetiver, Ylang-Ylang, Rose, Lily-Of-The-Valley And Cassia",1,1.0,0.1269594219010561,11,Musk,Salwood,Sandalwood,Patchouli,Oak Moss,Cedar,Pepper  Pine Tree,,,,,,Vetiver,Ylang-Ylang,Rose,Lily-Of-The-Valley  Cassia,,,,,,,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Calvin Klein,IN 2 U MEN,85.0,EDT,Men,Citrus,"White Musk, Vetiver and Cedar",Cacao Pod,1,1.0,0.0885491939966648,4,White Musk,Vetiver,Cedar,,,,,,,,,,Cacao Pod,,,,,,,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Rasasi,Royale Blue,45.3,EDP,Men,Fruity,Delicate Musky Sensual Woods,Distinct and Exotic,1,2.0,0.0444135630906058,3,Delicate Musky Sensual Woods,,,,,,,,,,,,Distinct,Exotic,,,,,,,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
MONTALE,Black Oud,240.0,EDP,Men,Floral,"Mandarin Orange, Agarwood","Musk, Patchouli",1,2.0,0.2608671484157865,5,M,arin Orange,Agarwood,,,,,,,,,,Musk,Patchouli,,,,,,,,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
